SalePrice,Overall Qual,Gr Liv Area,Garage Area,Total Bsmt SF,Year Built,Full Bath,Year Remod/Add,Foundation_PConc,Mas Vnr Area,Fireplaces
213490,7,1506,440.0,1362.0,2005,2,2005,True,145.0,1
381000,8,3447,1014.0,728.0,1935,3,1997,False,632.0,2
252000,8,1618,880.0,1618.0,2004,2,2004,True,232.0,1
204000,6,1302,631.0,1302.0,2005,1,2006,True,182.0,1
85000,4,1141,252.0,570.0,1900,1,1950,False,0.0,0
135000,6,1469,216.0,756.0,1906,1,1995,False,0.0,0
318000,8,1978,850.0,1978.0,2003,2,2003,True,320.0,1
185850,7,1364,484.0,1364.0,2005,2,2005,True,240.0,1
148000,4,1382,459.0,1051.0,1963,1,1979,False,51.0,1
181000,6,1586,435.0,1362.0,1979,2,1998,False,0.0,1
208900,8,1338,598.0,1338.0,2007,2,2007,True,0.0,0
392500,8,1652,482.0,1600.0,2008,2,2008,True,186.0,1
210000,7,1478,506.0,1454.0,1991,2,1992,True,0.0,1
130000,5,2350,393.0,973.0,1920,2,1960,False,0.0,0
133000,6,1578,240.0,806.0,1941,1,1950,False,0.0,2
147500,6,1232,440.0,816.0,1916,1,2000,False,0.0,1
263400,7,2161,506.0,832.0,1950,2,2000,False,0.0,2
192500,7,1555,430.0,1373.0,2005,2,2006,True,16.0,1
270000,8,2687,618.0,2062.0,1994,2,1994,True,0.0,0
119900,5,868,576.0,768.0,1971,1,1990,False,0.0,0
143000,5,990,440.0,990.0,1994,1,1994,True,0.0,0
237000,8,1498,844.0,1498.0,2005,2,2006,True,76.0,1
177000,6,1357,312.0,1019.0,1959,1,2006,False,84.0,1
126000,5,984,310.0,984.0,1965,1,1965,False,0.0,0
130000,5,999,308.0,925.0,1963,1,1963,False,0.0,0
261329,8,1584,594.0,1574.0,2007,2,2007,True,0.0,1
140000,4,1121,440.0,1121.0,2003,2,2004,True,0.0,0
227680,7,1428,554.0,1417.0,2008,2,2008,True,256.0,0
135000,6,1004,504.0,975.0,1977,1,1977,False,90.0,0
187500,7,1472,588.0,1372.0,1980,2,1980,False,225.0,2
137250,5,864,280.0,864.0,1968,1,1968,False,0.0,0
40000,4,1317,250.0,649.0,1920,1,1950,False,0.0,0
115000,4,1540,352.0,1190.0,1955,1,1955,True,0.0,0
277500,7,2448,441.0,1438.0,1962,3,1998,False,0.0,2
68500,4,520,240.0,520.0,1927,1,1950,False,0.0,0
333168,9,2599,779.0,1393.0,1999,2,1999,True,165.0,1
153337,5,1224,528.0,1086.0,1979,0,1979,False,275.0,2
246500,8,1651,870.0,1643.0,2007,2,2007,True,306.0,1
148000,5,1075,440.0,981.0,1963,1,1963,False,0.0,0
270000,7,1433,528.0,1433.0,1987,1,1987,False,177.0,2
165500,5,1955,356.0,1151.0,1958,2,1958,False,162.0,0
158000,5,2654,638.0,671.0,1920,3,1996,False,356.0,1
167000,5,1486,480.0,1486.0,1964,1,1999,True,0.0,0
181000,7,1596,610.0,784.0,2005,2,2005,True,532.0,0
203000,7,1444,577.0,1431.0,2002,2,2001,True,68.0,0
217500,8,1239,477.0,1230.0,1995,1,1995,True,0.0,1
136500,5,1480,253.0,1080.0,1951,1,1994,True,0.0,1
271500,6,1468,528.0,1468.0,2005,2,2005,True,0.0,1
150000,5,1144,286.0,1169.0,1956,1,1956,False,164.0,0
145000,6,1316,369.0,644.0,1926,1,1950,False,0.0,1
156000,6,1050,286.0,1050.0,1954,1,2000,False,176.0,0
63000,5,1112,226.0,585.0,1934,2,1950,True,0.0,0
211000,7,1992,608.0,860.0,1996,2,2002,True,254.0,2
316000,8,2332,756.0,1148.0,2004,2,2004,True,126.0,1
239900,7,1879,473.0,1079.0,1993,2,1994,True,0.0,1
80900,4,1049,195.0,356.0,1910,1,2000,True,0.0,0
204000,7,1501,577.0,1490.0,1999,2,1999,True,183.0,0
148400,7,1700,450.0,430.0,1980,2,1981,True,0.0,0
252000,7,2385,600.0,1066.0,1998,2,1998,True,275.0,1
164700,7,1250,528.0,625.0,2006,2,2007,True,0.0,0
162500,8,1191,531.0,1191.0,1989,2,1989,False,0.0,1
87500,4,1510,720.0,677.0,1910,2,1950,False,0.0,0
181900,7,1260,598.0,1260.0,1983,2,1983,False,174.0,0
179900,7,1442,719.0,910.0,1990,2,1991,True,0.0,1
149000,5,1576,225.0,1042.0,1928,1,1950,False,0.0,1
193500,6,2142,509.0,896.0,1968,2,1968,False,576.0,1
96000,4,1362,280.0,951.0,1920,2,1950,False,0.0,0
110000,4,1382,384.0,0.0,1949,2,2002,False,0.0,1
137000,5,1057,288.0,1057.0,1955,1,1999,False,164.0,0
167800,6,1490,392.0,745.0,2005,2,2006,True,0.0,1
193000,7,1812,478.0,835.0,2004,2,2004,True,0.0,0
125000,6,752,264.0,744.0,1984,1,1984,False,0.0,0
385000,9,1842,894.0,1842.0,1981,0,1987,False,0.0,1
82000,4,841,294.0,721.0,1950,1,1950,False,0.0,0
164900,6,1672,240.0,981.0,1940,1,1989,False,0.0,1
125000,5,1089,252.0,1089.0,1954,1,1954,False,0.0,1
127500,6,1609,228.0,796.0,1910,1,1950,False,0.0,0
121600,4,1230,305.0,747.0,1946,1,1950,False,0.0,0
196500,7,1724,616.0,796.0,2003,2,2004,True,190.0,1
319000,8,1826,758.0,1814.0,2005,2,2006,True,238.0,1
257500,8,1658,726.0,1614.0,2008,2,2008,True,294.0,1
198444,6,1746,350.0,698.0,2006,2,2007,True,0.0,1
268000,7,2295,590.0,1095.0,1992,2,2000,True,0.0,1
127000,5,1252,576.0,504.0,1908,1,1991,True,0.0,0
173000,7,1626,474.0,764.0,2003,2,2004,True,106.0,0
127000,5,1475,336.0,757.0,1977,2,1977,True,0.0,1
311872,7,1726,786.0,1726.0,2007,2,2007,True,205.0,1
107400,3,1605,379.0,840.0,1915,2,1950,False,0.0,0
260400,7,1720,527.0,1720.0,1996,2,1996,True,338.0,1
131000,6,1062,297.0,1062.0,1954,1,1954,False,80.0,0
131400,5,1144,264.0,864.0,1961,1,1983,False,0.0,1
175500,7,1626,474.0,764.0,2003,2,2003,True,106.0,0
138000,5,1143,288.0,1008.0,1928,1,1983,False,0.0,1
315000,8,2630,696.0,1470.0,1998,2,1998,True,473.0,1
123000,4,872,480.0,858.0,1971,1,1971,False,0.0,0
205000,8,1370,484.0,1370.0,2006,2,2006,True,178.0,1
220000,7,1782,551.0,1782.0,1979,2,1979,False,194.0,1
120500,4,864,528.0,864.0,1971,1,1971,True,0.0,0
175000,7,1446,406.0,729.0,1996,2,1997,True,0.0,1
106000,5,846,576.0,720.0,1920,1,1950,False,0.0,0
146000,7,1392,540.0,689.0,2007,2,2007,True,0.0,0
230000,8,1648,482.0,1596.0,2007,2,2008,True,174.0,1
140000,5,1641,490.0,1001.0,1972,2,1972,False,0.0,1
142000,5,1056,304.0,1056.0,1968,1,1968,False,0.0,1
148000,6,1032,564.0,1032.0,1978,2,1978,False,233.0,1
137000,5,1176,303.0,1158.0,1958,1,1998,False,340.0,2
212300,7,1952,299.0,976.0,1950,1,2005,False,0.0,2
112500,5,882,461.0,882.0,1972,1,1972,False,0.0,0
210000,6,1635,440.0,1065.0,1923,1,1950,False,0.0,1
220000,8,1874,588.0,1058.0,2000,2,2001,True,0.0,1
118000,5,864,399.0,864.0,1958,1,1958,False,0.0,0
225000,7,1614,576.0,1614.0,2005,2,2005,True,140.0,1
283463,8,1776,712.0,1732.0,2006,2,2007,True,100.0,1
457347,9,2798,670.0,1398.0,2005,3,2006,True,600.0,1
175000,5,1484,487.0,1484.0,1971,2,1971,False,0.0,1
172000,6,1246,441.0,1246.0,1964,1,1964,False,0.0,2
265000,6,2443,744.0,1158.0,2004,2,2004,True,353.0,1
142500,6,1141,484.0,1141.0,2005,1,2005,True,0.0,0
159000,5,965,580.0,870.0,1996,1,1996,True,0.0,0
149000,6,1510,216.0,755.0,1920,1,1950,True,0.0,0
174500,6,1576,368.0,1208.0,1961,1,1961,False,90.0,1
141000,6,1215,720.0,720.0,1940,1,1950,False,0.0,0
145000,5,1505,240.0,883.0,1940,1,1982,False,0.0,0
166000,6,1392,458.0,1392.0,1957,1,1957,False,387.0,2
591587,9,2338,1110.0,2660.0,2006,2,2007,True,710.0,2
154000,7,2050,529.0,832.0,1978,2,1978,False,256.0,1
110000,5,1324,180.0,741.0,1930,1,1984,False,0.0,0
226750,7,1892,431.0,982.0,2000,2,2001,True,647.0,1
200825,6,1716,615.0,858.0,2005,2,2005,True,0.0,0
412083,9,2589,831.0,1738.0,2006,2,2006,True,215.0,1
153900,5,1416,720.0,876.0,1915,1,1950,False,0.0,1
113722,5,1513,400.0,0.0,1979,2,1979,False,0.0,0
148325,5,1229,672.0,1094.0,1979,0,1979,False,216.0,2
200000,6,1652,510.0,1592.0,1959,1,1991,False,136.0,1
127000,6,1045,264.0,1045.0,1963,1,1963,False,0.0,1
202500,8,1370,484.0,1370.0,2006,2,2006,True,178.0,1
240000,7,2327,596.0,1129.0,2003,2,2003,True,0.0,1
290000,9,1419,588.0,1419.0,2001,1,2001,True,0.0,1
114504,6,1368,216.0,684.0,1910,1,1993,False,0.0,0
231500,6,1764,470.0,928.0,1997,2,1997,True,0.0,0
146900,5,1308,484.0,720.0,1969,1,1969,False,0.0,0
188000,7,2000,650.0,996.0,1993,2,1994,True,94.0,1
137900,5,2136,528.0,2136.0,1951,2,1951,False,44.0,0
222000,6,1726,561.0,1726.0,2008,2,2008,True,280.0,1
181500,6,1262,460.0,1262.0,1976,2,1976,False,0.0,1
164000,6,1295,528.0,1295.0,1968,1,1968,True,196.0,0
240000,7,1670,690.0,1670.0,2006,2,2006,True,27.0,1
475000,10,3608,840.0,1107.0,1892,2,1993,False,0.0,2
87500,3,1040,400.0,0.0,1949,2,1950,False,340.0,0
166000,8,1151,484.0,1141.0,2006,2,2007,True,30.0,0
118858,5,1535,400.0,0.0,1979,2,1979,False,0.0,0
179000,7,1349,539.0,1349.0,2000,2,2001,True,108.0,0
235000,6,2108,540.0,1127.0,1935,2,1986,False,0.0,2
197600,5,2461,400.0,1140.0,1952,2,2002,False,265.0,2
276000,8,2574,868.0,1482.0,2007,2,2007,True,270.0,1
145000,5,1040,686.0,1040.0,1968,1,1968,False,0.0,0
102900,5,1210,616.0,0.0,1953,1,1953,False,140.0,0
451950,10,2296,842.0,1722.0,2008,2,2008,True,420.0,1
250000,8,1992,648.0,1053.0,2003,2,2004,True,768.0,1
187000,6,1837,688.0,941.0,1997,2,1998,True,0.0,0
260000,8,1538,484.0,1538.0,2005,2,2005,True,148.0,0
270000,8,1795,782.0,900.0,2006,2,2006,True,121.0,1
187500,7,1146,438.0,868.0,2003,2,2003,True,442.0,1
501837,9,2234,1166.0,2216.0,2008,2,2009,True,748.0,1
238000,7,1718,264.0,851.0,1927,2,1992,False,0.0,1
214900,7,1894,510.0,817.0,2002,2,2003,True,44.0,1
168000,4,1622,1356.0,1249.0,1961,1,1975,False,149.0,1
155000,6,1114,576.0,1114.0,2003,1,2004,True,0.0,0
120000,7,1045,528.0,1045.0,1962,1,1962,False,0.0,0
185000,6,1511,413.0,802.0,1997,2,1997,True,0.0,1
139400,5,1056,260.0,1056.0,1954,1,2005,False,0.0,0
191000,6,2555,672.0,588.0,1922,2,1994,False,0.0,1
144500,6,1074,467.0,663.0,1950,1,1987,False,0.0,1
145000,6,1664,616.0,1664.0,1978,2,1978,False,0.0,0
138800,5,1096,299.0,1096.0,1969,1,1969,False,0.0,0
188500,7,1432,432.0,716.0,2004,2,2005,True,0.0,1
378000,9,1780,816.0,1780.0,2004,2,2005,True,674.0,1
122000,5,900,280.0,882.0,1967,1,1967,False,31.0,0
119000,5,949,370.0,949.0,1924,1,2003,False,0.0,1
129900,5,1200,246.0,1200.0,1950,1,1950,False,0.0,0
144500,5,1526,364.0,1216.0,1957,1,2002,False,145.0,1
209500,8,1554,627.0,1554.0,2006,2,2006,True,108.0,1
190000,6,1285,473.0,1243.0,1977,2,1977,False,0.0,1
243000,6,2158,576.0,1202.0,1950,2,2001,False,0.0,1
390000,9,2748,850.0,1850.0,2006,2,2006,True,270.0,1
324000,9,1808,850.0,1774.0,2008,2,2008,True,285.0,1
336000,8,2612,676.0,1225.0,1998,2,1999,True,975.0,1
239799,7,1962,868.0,1391.0,2006,2,2006,True,0.0,0
185000,7,2454,576.0,819.0,1879,2,1987,True,0.0,1
210000,7,1908,493.0,915.0,1994,2,1995,True,0.0,1
174190,6,1326,427.0,1326.0,2006,2,2006,True,0.0,0
130000,6,1709,380.0,970.0,2004,2,2006,True,50.0,0
135000,6,1495,576.0,864.0,1948,1,1994,False,0.0,0
191000,7,1504,437.0,1346.0,2005,2,2006,True,14.0,1
116900,5,925,390.0,923.0,1955,1,1955,False,0.0,2
290000,6,2683,473.0,930.0,1990,2,1991,True,304.0,2
372500,8,2046,834.0,2046.0,2008,2,2008,True,464.0,1
117000,6,1635,255.0,485.0,1910,1,2003,False,0.0,0
71000,4,1092,286.0,546.0,1970,1,1970,False,0.0,0
217000,6,2259,450.0,1809.0,1953,2,1953,False,184.0,2
185000,8,1034,598.0,982.0,1989,1,1989,False,0.0,1
299800,8,2715,831.0,1142.0,1976,3,1996,False,289.0,2
215000,7,1959,434.0,847.0,2004,2,2005,True,0.0,1
171000,6,1118,358.0,1096.0,1977,1,1977,False,0.0,1
131000,5,1640,394.0,0.0,1950,1,1950,False,0.0,1
141000,4,864,400.0,864.0,1951,1,1951,False,0.0,0
126000,5,1112,480.0,631.0,1951,1,1951,False,0.0,0
133000,5,1268,288.0,832.0,1949,1,1950,False,0.0,1
91500,5,1456,280.0,810.0,1948,1,1950,False,0.0,1
155000,6,1337,511.0,1337.0,2001,2,2001,True,0.0,1
176000,7,1479,484.0,725.0,1981,2,2003,False,306.0,1
241500,7,1501,512.0,1277.0,1986,2,1986,False,340.0,1
200000,6,1302,631.0,1302.0,2005,1,2006,True,182.0,1
214000,7,1536,532.0,1536.0,2002,2,2003,True,113.0,0
133000,5,1792,480.0,896.0,1974,2,1974,False,0.0,0
200000,7,1861,492.0,916.0,2002,2,2002,True,0.0,0
202000,6,1776,443.0,821.0,1996,2,1996,True,0.0,1
136000,6,1536,308.0,768.0,1952,1,1952,False,0.0,0
230000,8,1852,660.0,1004.0,1999,2,2000,True,320.0,2
127000,5,925,252.0,925.0,1956,1,2003,False,0.0,0
160000,6,2007,357.0,917.0,1900,2,1950,False,0.0,0
